reply_id,post_id,teacher_id,reply_content,reply_time,student_id
1,1,1,Great post!,2022-01-01 10:00:00,
2,1,2,I agree with you.,2022-01-01 11:30:00,
3,1,3,Interesting topic.,2022-01-01 12:45:00,
4,2,4,Well said!,2022-01-02 09:15:00,
5,2,5,Thanks for sharing.,2022-01-02 10:30:00,
6,2,6,I have a different opinion.,2022-01-02 11:45:00,
7,3,7,Good point!,2022-01-03 08:30:00,
8,3,,I disagree.,2022-01-03 09:45:00,29
9,3,,Can you provide more details?,2022-01-03 10:55:00,18
10,4,,I completely agree.,2022-01-04 13:15:00,3
11,4,,Well written!,2022-01-04 14:30:00,4
12,4,,I have a different perspective.,2022-01-04 15:45:00,6
13,5,,This is an important topic.,2022-01-05 11:00:00,9
14,5,,I couldn't agree more.,2022-01-05 12:15:00,11
15,5,,I think there are other factors to consider.,2022-01-05 13:30:00,15
16,6,,Great insights!,2022-01-06 09:45:00,16
17,6,,I have a different point of view.,2022-01-06 11:00:00,17
18,6,,Can you clarify your statement?,2022-01-06 12:15:00,15
19,7,,I agree with your analysis.,2022-01-07 10:30:00,20
20,7,,Well argued!,2022-01-07 11:45:00,22
21,7,,I think there are other factors to consider.,2022-01-07 13:00:00,23
22,8,2,Interesting perspective.,2022-01-08 08:15:00,
23,8,3,I disagree with your conclusion.,2022-01-08 09:30:00,
24,8,4,Can you provide more evidence?,2022-01-08 10:45:00,
25,9,5,"I agree, this is an important issue.",2022-01-09 12:00:00,
26,9,6,I have a different viewpoint.,2022-01-09 13:15:00,
27,9,7,Well explained!,2022-01-09 14:30:00,
28,10,1,I couldn't agree more.,2022-01-10 11:45:00,
29,10,1,I think there are other factors to consider.,2022-01-10 13:00:00,
