student_assignment_id,student_id,assignment_id,submission_time,grade,comment,student_answer
1,1,1,2022-01-01 10:00:00,95.50,Great job!,AXASX
2,2,2,2022-01-02 09:30:00,,"",acacac
3,3,3,2022-01-03 14:15:00,92.70,Well done.,gfaa
4,4,4,2022-01-04 16:45:00,87.20,Good effort.,x
5,1,5,2022-01-05 11:20:00,78.90,Could be better.,csacaca
9,5,9,2022-01-09 10:50:00,76.40,Needs more effort.,csacacaxcac
11,15,11,2022-01-11 16:25:00,82.30,Good progress.,dddhhhhmhm
12,16,12,2022-01-12 11:15:00,,"",brtbrbn
13,13,13,2022-01-13 13:35:00,79.20,Keep practicing.,bdfhdg
14,24,14,2022-01-14 15:55:00,90.50,Almost there.,sverbv
15,29,15,2022-01-15 12:25:00,,"",vwesgv
21,30,1,2022-01-21 10:30:00,,"",rtbhntryfn
22,20,2,2022-01-22 09:20:00,82.10,Well done.,csvwsrggfvd
23,21,3,2022-01-23 14:40:00,88.50,Good effort.,vbebtbedsfv
24,7,4,2022-01-24 16:10:00,,"",axcfbgrb
25,2,5,2022-01-25 11:45:00,,"",acsaaca
26,17,6,2022-01-26 13:25:00,84.60,Great work.,brgrbr
28,12,8,2022-01-28 12:15:00,92.30,Well executed.,brbbdfb
29,11,9,2022-01-29 10:05:00,81.50,Almost there.,myrnrb
30,16,10,2022-01-30 14:30:00,87.80,Nice effort.,dbgrgtdbr
31,14,11,2022-01-31 16:40:00,79.10,Good attempt.,gffdfd
32,14,12,2022-02-01 11:30:00,,"",hhdfd
33,22,13,2022-02-02 13:50:00,82.80,Keep improving.,vsdvgerbd
34,23,14,2022-02-03 16:05:00,88.20,Great job!,berbnedvsv
35,28,15,2022-02-04 12:35:00,79.60,Could be better.,vesdb
41,13,1,2023-11-27 14:10:56,100.00,Excellent work.,123456
42,8,2,2022-02-11 09:45:00,80.10,Good progress.,vewtrn
43,15,3,2022-02-12 14:00:00,92.50,Well executed.,dfgdgffg
45,4,5,2022-02-14 11:55:00,76.20,Almost there.,cascac
46,3,6,2022-02-15 13:45:00,,"",a
47,18,7,2022-02-16 15:55:00,85.00,Good attempt.,bgrewyumyu
48,16,8,2022-02-17 12:20:00,,"",brrrbrb
49,19,9,2022-02-18 10:10:00,92.70,Keep improving.,csvefgvesfvs
